,text,sentiment,negative_reason,clean,twitter_handles,hashtags_all
0,brobreiner so afraid of Nov Dec and Jan Even if BidenHarris2020  has 3 months to do even more damage than he,0,covid19,brobreiner afraid Nov Dec Jan Even BidenHarris2020 3 months damage,@robreiner,#BidenHarris2020
1,bRT SueC00K Lord Sumption launches Recovery  a new initiative to promote AnotherWay to deal with Covid Hysteria and rushed laws,0,others,bRT SueC00K Lord Sumption launches Recovery initiative promote AnotherWay deal Covid Hysteria rushed laws,@SueC00K,#AnotherWay #Covid
2,bRT WalidPhares Uber Timing after Biden advisors said they would put pressure on Brazil  sanction jairbolsonaro Gov when elected,0,covid19,bRT WalidPhares Uber Timing Biden advisors pressure Brazil sanction jairbolsonaro Gov elected,@WalidPhares @jairbolsonaro,#Biden #Brazil
3,bEvery 107 seconds an American is dying from the TrumpVirus nnDonaldTrump thinks that is a,1,,bEvery 107 seconds American dying TrumpVirus nnDonaldTrump thinks,,#TrumpVirus #DonaldTrump #JoeBiden
4,bRT thewebbix The Democrats embrace DiversityandInclusion for all citizens that make our nation what it is Each of us must Vote to,1,,bRT thewebbix The Democrats embrace DiversityandInclusion citizens nation Each Vote,@thewebbix,#Democrats #DiversityandInclusion #Vote
5,accelerating  rising when all Americans killed by TrumpVirus are,0,discrimination,accelerating rising Americans killed TrumpVirus,,#Americans #TrumpVirus
6,brealDonaldTrump 961 dead Americans in one day 240 times the number who died after Benghazi The right lost,0,discrimination,brealDonaldTrump 961 dead Americans day 240 times number died Benghazi The lost,@realDonaldTrump,
7,bCOVID19 coronavirus coronavirusuk COVID UKlockdown nIf there is a National Lockdown Next Week nShould We,1,,bCOVID19 coronavirus coronavirusuk COVID UKlockdown nIf National Lockdown Next Week nShould We,,#COVID19 #coronavirus #coronavirusuk #COVID #UKlockdown
8,bcharliekirk11 only reason realdonaldtrump is doing more than 3 rallies is because he knows he is losing,0,corruption,bcharliekirk11 reason realdonaldtrump 3 rallies losing,@charliekirk11 @realdonaldtrump,
9,bRT JoeBarri Anyone whos concerned in the least about HunterBiden is a Trump asskisser  human fraud WTF about the CURRENT,0,covid19,bRT JoeBarri Anyone concerned HunterBiden Trump asskisser human fraud WTF CURRENT,@JoeBarri,#HunterBiden
10,bBreakingNews October CatsOfTwitter dogsoftwitter wake the fuck up its go time BidenHarris2020,0,corruption,bBreakingNews October CatsOfTwitter dogsoftwitter wake fuck time BidenHarris2020,,#BreakingNews #October #CatsOfTwitter #dogsoftwitter #BidenHarris2020
11,brealDonaldTrump Is why ur campaign paid people off and rig and mess up Postal mail,0,crime,brealDonaldTrump Is ur campaign paid people rig mess Postal mail,@realDonaldTrump,
12,bTuesday night I refuse to watch any TV hype Just build me a big ass fire open a bottle of wine and hope I,0,crime,bTuesday night I refuse watch TV hype Just build big ass fire open bottle wine hope I,,
13,brealDonaldTrump If you MAGA think this is disgusting then YOU should go back to Sunday,0,discrimination,brealDonaldTrump If MAGA disgusting YOU Sunday,@realDonaldTrump,#MAGA
14,bRT BettinaSRoss1 German doctors are sending this around on  Covid_19,1,,bRT BettinaSRoss1 German doctors sending Covid_19,@BettinaSRoss1,#coronavirus #Covid_19
15,bWatch what happened at 457 in DetHippieChicks broadcast Hippie Chicks chat hour Biden2020nn,1,,bWatch happened 457 DetHippieChicks broadcast Hippie Chicks chat hour Biden2020nn,@DetHippieChick,#Biden2020
16,bJoeBiden calls Trump supporters Ugly SHAME ON HIM The other day it was Chumps OMG SilentMajorityRising,0,corruption,bJoeBiden calls Trump supporters Ugly SHAME ON HIM The day Chumps OMG SilentMajorityRising,,#JoeBiden #Trump #Ugly #Chumps #SilentMajorityRising
17,bA giant FUCK YOU to Covid for destroying a decades old neighborhood tradition First snow of the year party,0,corruption,bA giant FUCK YOU Covid destroying decades neighborhood tradition First snow year party,,#Covid
18,brealDonaldTrump I will be so glad to never have to listen to your sorry ass voice again BidenHarris2020,0,covid19,brealDonaldTrump I will glad listen ass voice BidenHarris2020,@realDonaldTrump,#BidenHarris2020
19,bRT IWashington Vote Like Your Lives Depends On It Because It Does MAGA,1,,bRT IWashington Vote Like Your Lives Depends On It Because It Does MAGA,@IWashington,#MAGA
20,bRT MelissaTweets I didnt think all the freak out was about control in the beginning of  its clear thats ALL its,0,covid19,bRT MelissaTweets I didnt freak control clear ALL,@MelissaTweets,#Covid
21,bThe National TaxLimitation Committee on how much the average family of four has saved on an annual basis from,1,,bThe National TaxLimitation Committee average family saved annual basis,,
22,bMediaite MSNBC Whats wrong with chucktodd He has to go Resist,0,covid19,bMediaite MSNBC Whats wrong chucktodd He Resist,@Mediaite @MSNBC @chucktodd,#Resist
23,bI honestly cannot deal with a second national lockdown I realise that important but the last one really,1,,bI honestly deal second national lockdown I realise,,
24,bJoeBiden JOE BIDEN IS TOTALLY AND COMPLETELY COMPROMISED BY  Biden is a corrupt politician He wants,1,,bJoeBiden JOE BIDEN IS TOTALLY AND COMPLETELY COMPROMISED BY Biden corrupt politician He,@JoeBiden,
25,bAriMelber MMFlint MichaelSteele no way that you are correct that the 15 million young people who can,1,,bAriMelber MMFlint MichaelSteele correct 15 young people,@AriMelber @MMFlint @MichaelSteele,
26,bFor all the problems COVID has created and amplified it has also caused some companies to make new investments,0,discrimination,bFor problems COVID created amplified caused companies investments,,#COVID
27,bbrikeilarcnn socalmom The Truth is that the COVID19 deaths the children separated from parents dead,0,corruption,bbrikeilarcnn socalmom The Truth COVID19 deaths children separated parents dead,@brikeilarcnn @socalmom,#COVID19
28,bI love that frontier gibberish that JoeBiden speaks,1,,bI love frontier gibberish JoeBiden speaks,,#JoeBiden
29,bRT PeeJayAitch Parent at Chilliwack school that has a positive COVID case onus is on me Follow 811 which says her child,1,,bRT PeeJayAitch Parent Chilliwack school positive COVID case onus Follow 811 child,@PeeJayAitch,#Chilliwack #COVID
30,brealDonaldTrump campaign manager is a  deputy campaign mgr is a  national sec,1,,brealDonaldTrump campaign manager deputy campaign mgr national,@realDonaldTrump,
31,bRT rahansen1 This makes me happy BlueWave,1,,bRT rahansen1 This happy BlueWave,@rahansen1,#BlueWave
32,bThe best part of the Georgia GOP Evil vs Evil brawl is the infighting has potentially cleared a path for a,0,covid19,bThe best Georgia GOP Evil Evil brawl infighting cleared path,,#GOP
33,bThe headline is always about the number of cases but not the number of confirmed  we change that COVID,1,,bThe headline number cases number confirmed change COVID,,#COVID
34,bMAGA They love African American Black People blacklivesmatter biden2020 vote joebiden,1,,bMAGA They love African American Black People blacklivesmatter biden2020 vote joebiden,@joebiden,#blacklivesmatter #biden2020 #vote
35,bToday MauryCounty recorded its record  of new COVID cases in 24 hrs 172 nnOnly Nashville  Memphis had,1,,bToday MauryCounty recorded record COVID cases 24 hrs 172 nnOnly Nashville Memphis,,#MauryCounty #COVID
36,bweeser1 I ask how did Trumps kids get those positions in our WhiteHouse especially when they get,1,,bweeser1 I Trumps kids positions WhiteHouse,@weeser1,
37,bRT kelliekelly23 CNN Refuses To Air AntiBiden Ad  Even Though Its Accurate nWe are living in a new world where media and big tech,1,,bRT kelliekelly23 CNN Refuses To Air AntiBiden Ad Even Though Its Accurate nWe living media big tech,@kelliekelly23,
38,bShare we need to change thisnCHANGES nWomensMarch2020 nBidenHarris2020,1,,bShare change thisnCHANGES nWomensMarch2020 nBidenHarris2020,,#CHANGES #WomensMarch2020 #BidenHarris2020
39,bOh sht the live feed went screwy and now the audio is terrible This Trump rally really is a Noises Off production,0,covid19,bOh sht live feed screwy audio terrible This Trump rally Noises Off production,,#Trump
40,bIts sad that JoeBiden cant make a speech without lying and attacking our President without  man,0,covid19,bIts sad JoeBiden cant speech lying attacking President man,,#JoeBiden
41,bElection2020 No matter who wins the apposing team is going to have a meltdown and,1,,bElection2020 No matter wins apposing team going meltdown,,#Election2020
42,bZac_Petkanas Vote out this violent trashnBidenHarris2020,0,corruption,bZac_Petkanas Vote violent trashnBidenHarris2020,@Zac_Petkanas,#BidenHarris2020
43,bnypost Thank the DNC MaintreamMedia for the PeacefulProtest s Dont forget to thank JoeBiden,0,others,bnypost Thank DNC MaintreamMedia PeacefulProtest Dont forget JoeBiden,@nypost,#DNC #MaintreamMedia #PeacefulProtest #JoeBiden
44,bCollinEyeJoe angry__saint Thats funny but photoshopped nnStill Arrested Development does describe the,0,discrimination,bCollinEyeJoe angry__saint Thats funny photoshopped nnStill Arrested Development describe,@CollinEyeJoe @angry__saint,
45,bco_rapunzel4 We get them groomed about every 5wks We went 2 months in the height of dealing with Covid mandates,1,,bco_rapunzel4 We groomed 5wks We 2 months height dealing Covid mandates,@co_rapunzel4,#Covid
46,bRT peacelovinMimi Damnit these Biden TV ads  this one with Obama talking  make me cry BidenHarris2020,0,crime,bRT peacelovinMimi Damnit Biden TV ads Obama talking cry BidenHarris2020,@peacelovinMimi,#BidenHarris2020
47,bIf you to help in these last few days to KeepAmericaGreat please DM now to join the Lancaster Trump  KAG LeadRight,1,,bIf help days KeepAmericaGreat DM join Lancaster Trump KAG LeadRight,,#KeepAmericaGreat #Trump #MAGA #KAG #LeadRight
48,bHealth officials announce 272 new coronavirus cases in BC  COVID19BC,1,,bHealth officials 272 coronavirus cases BC COVID19BC,,#coronavirus #COVID19BC
49,bRT PLinIrlandia BreakingNews clashes between Spanish police  anti Coronavirus Lockdown2 protesters in Barcelona tonight,0,corruption,bRT PLinIrlandia BreakingNews clashes Spanish police anti Coronavirus Lockdown2 protesters Barcelona tonight,@PLinIrlandia,#BreakingNews #Coronavirus #Lockdown2 #Barcelona
50,bUptonForAllOfUs going to lose your job VOTEBLUE BLUEWAVE Vote2020,0,corruption,bUptonForAllOfUs going lose job VOTEBLUE BLUEWAVE Vote2020,@UptonForAllOfUs,#VOTEBLUE #BLUEWAVE #Vote2020
51,blushcosmetics Hands down the best establishment come across in regards to Covid prevention Staff at the,1,,blushcosmetics Hands best establishment Covid prevention Staff,@lushcosmetics,
52,bkirstiealley Guess anyone that watched any thing you were ever in got all of that wrong Why is it that,0,covid19,bkirstiealley Guess watched thing wrong Why,@kirstiealley,
53,bDarn 2 new fake followersI blocked both If real this is me AdoptDontShop,0,discrimination,bDarn 2 fake followersI blocked If real AdoptDontShop,,#AdoptDontShop
54,bCOVID19 coronavirus coronavirusuk COVID UKlockdown n Boris Johnson plans full Covid lockdown for England until December,1,,bCOVID19 coronavirus coronavirusuk COVID UKlockdown Boris Johnson plans full Covid lockdown England December,,#COVID19 #coronavirus #coronavirusuk #COVID #UKlockdown
55,bRT TomFitton The most significant voter suppression effort in decades has been the Leftist propaganda to use coronavirus to scare,0,others,bRT TomFitton The voter suppression effort decades Leftist propaganda coronavirus scare,@TomFitton,#coronavirus
56,bIm worn out and exhausted by election season and who isnt Distracting myself by planning my election night,0,covid19,bIm worn exhausted election season isnt Distracting planning election night,,
57,bRT DovahGol THIS NEVER GET OLDS HELL YEAH GO FULL MODE RED I WILL VOTE FOR realDonaldTrump MY PRESIDENT MY MAN,0,others,bRT DovahGol THIS NEVER GET OLDS HELL YEAH GO FULL MODE RED I WILL VOTE FOR realDonaldTrump MY PRESIDENT MY MAN,@DovahGol @realDonaldTrump,
58,bThe Biden campaign will focus on Pennsylvania on Monday the final day before the electionnnElection2020 nElections2020 nBidenHarris2020,1,,bThe Biden campaign will focus Pennsylvania Monday final day electionnnElection2020 nElections2020 nBidenHarris2020,,#Election2020 #Elections2020 #BidenHarris2020
59,bSwerdlick OnePage PlatinumPlan rolandsmartin icecube aliciagarza great conversation about developing,1,,bSwerdlick OnePage PlatinumPlan rolandsmartin icecube aliciagarza great conversation developing,@Swerdlick @rolandsmartin @icecube @aliciagarza,#OnePage #PlatinumPlan #great #conversation #developing
60,bTruly they are sociopaths We need to think about how we are going to prosecute people whose influence puts so,0,discrimination,bTruly sociopaths We going prosecute people influence puts,,
61,bIm an intersex person and Biden shouted at me  shook his finger in my face last June But I live in WI a,0,covid19,bIm intersex person Biden shouted shook finger face June But I live WI,,
62,bRT RWTrollPatrol JoeBiden Watch this great new film from MeidasTouch and make TrumpCrimeFamily trend 1 nnPlease watch and,1,,bRT RWTrollPatrol JoeBiden Watch great film MeidasTouch TrumpCrimeFamily trend 1 nnPlease watch,@RWTrollPatrol @JoeBiden @MeidasTouch,#TrumpCrimeFamily #1
63,brealDonaldTrump It ends when it ends BidenHarris2020,1,,brealDonaldTrump It ends ends BidenHarris2020,@realDonaldTrump,#BidenHarris2020
64,brealDonaldTrumpnnYou are going to lose badly When you do get the fuck,0,crime,brealDonaldTrumpnnYou going lose badly When fuck,@realDonaldTrump,
65,bFridayvibes COVID math physics astronomy Cosmology must be a much more controversial field than I thought it,0,others,bFridayvibes COVID math physics astronomy Cosmology controversial field I thought,,#Fridayvibes #COVID #math #physics #astronomy
66,bNew York Post Twitter backs down finally unlocks Post account after Biden ban,0,others,bNew York Post Twitter backs finally unlocks Post account Biden ban,,#Twitter #Biden
67,bJoeBiden Lilylive000Lily Now this is what a leader tweets not stupid namecalling or whining about the,0,others,bJoeBiden Lilylive000Lily Now leader tweets stupid namecalling whining,@JoeBiden @Lilylive000Lily,
68,bGOP realDonaldTrump Trump is killing Michigan TrumpVirusnCoronavirus Cases 193388nDeaths,0,others,bGOP realDonaldTrump Trump killing Michigan TrumpVirusnCoronavirus Cases 193388nDeaths,@GOP @realDonaldTrump,#TrumpVirus
69,brealDonaldTrump Biden is not even in office and yet we see Depression right now under who else  So,0,covid19,brealDonaldTrump Biden office Depression So,@realDonaldTrump,
70,bStay safe out there this weekendnnHappyHalloween Jason Fridaythe13th IWillSurvive COVID pandemic coronavirus,1,,bStay safe weekendnnHappyHalloween Jason Fridaythe13th IWillSurvive COVID pandemic coronavirus,,#HappyHalloween #Jason #Fridaythe13th #IWillSurvive #COVID #pandemic #coronavirus
71,bAll the ads all the money spent in campaigning amount to a hill of beans IF you DONT  vote,1,,bAll ads money spent campaigning amount hill beans IF DONT vote,,
72,brealDonaldTrump As of today people are testing positive for covid19 every second with a possible twelve going,1,,brealDonaldTrump As today people testing positive covid19 second twelve going,@realDonaldTrump,#covid19
73,bHalloween Kahoot for in class and remote students to enjoy school covid spirit thisismytown covid,1,,bHalloween Kahoot class remote students enjoy school covid spirit thisismytown covid,,#school #covid #spirit #thisismytown #covid
74,bToo bad Wolf u also report how heartless MoscowMitch et al devout fake christians in SenateGOP r not,0,covid19,bToo bad Wolf report heartless MoscowMitch al devout fake christians SenateGOP,@SenateGOP,#MoscowMitch
75,bRT ifindkarma Trump has over 420 million in outstanding loans that are coming President Trump owe foreign,1,,bRT ifindkarma Trump 420 outstanding loans coming President Trump owe foreign,@ifindkarma,
76,bPippaCrerar Anna_Soubry Remember this is all based on a flawed testing method that produces false positive,1,,bPippaCrerar Anna_Soubry Remember based flawed testing method produces false positive,@PippaCrerar @Anna_Soubry,
77,bExactly what I was thinking and feeling IgnoreThePolls BidenHarris2020,1,,bExactly I thinking feeling IgnoreThePolls BidenHarris2020,,#IgnoreThePolls #BidenHarris2020
78,bVoting for a man who can say something this obscene is as immoral as immorality gets,0,corruption,bVoting man obscene immoral immorality,,
79,blr_4real Also too bad wolfblitzer report how heartless MoscowMitch et al devout fake christians,0,covid19,blr_4real Also bad wolfblitzer report heartless MoscowMitch al devout fake christians,@lr_4real,#wolfblitzer #MoscowMitch
80,batrupar 22000 lies  counting 228000 dead from Covid 9 million infected stock market tanking millions of,0,corruption,batrupar 22000 lies counting 228000 dead Covid 9 infected stock market tanking millions,@atrupar,
81,bRT rudybird100 BarackObama DrGJackBrown Trump is already trying to steal everything from us BidenHarris2020,0,others,bRT rudybird100 BarackObama DrGJackBrown Trump steal BidenHarris2020,@rudybird100 @BarackObama @DrGJackBrown,#BidenHarris2020
82,bRT DiverseElders In the absence of public health system investment our health status has sunk to the bottom of peer nations And the,1,,bRT DiverseElders In absence public health system investment health status sunk bottom peer nations And,@DiverseElders,
